WhatId,OwnerId,CreatedDate,LastModifiedDate,ActivityDate,Subject,DurationInMinutes
Opportunity for Greer1,Kelly Frazier,2015-06-18,2015-06-24,2015-07-24,Meeting with stakeholders daduskop [9809],75
Opportunity for Manning2,Bruce Kennedy,2015-06-28,2015-06-30,2015-08-07,Meeting with stakeholders ij [1139],120
Opportunity for Franklin3,Kelly Frazier,2015-05-18,2015-07-02,2015-06-23,Demo with execs da [1587],85
Opportunity for Cannon4,John Williams,2015-07-03,2015-07-05,2015-08-17,Demo with execs ko [4497],18
Opportunity for Conner5,Laura Garza,2015-06-04,2015-06-30,2015-07-14,Meeting with stakeholders vi [5643],106
Opportunity for Henry6,Eric Sanchez,2015-05-10,2015-06-25,2015-06-05,Meeting with stakeholders sudje [2125],43
Opportunity for Sims7,Dennis Howard,2015-05-11,2015-05-13,2015-05-30,Meeting with stakeholders moha [2320],50
Opportunity for Smith8,Bruce Kennedy,2015-07-05,2015-07-05,2015-07-15,Demo with execs tuz [3183],40
Opportunity for Wood9,Dennis Howard,2015-06-08,2015-06-13,2015-07-02,Demo with execs has [4808],120
Opportunity for Gill10,Julie Chavez,2015-05-25,2015-06-17,2015-07-09,Meeting with stakeholders hutak [4457],115
Opportunity for Hogan11,Irene Kelley,2015-05-28,2015-06-09,2015-05-31,Meeting with stakeholders ler [8891],25
Opportunity for McCormick12,Eric Gutierrez,2015-06-18,2015-07-01,2015-06-28,Meeting with stakeholders lo [6154],67
Opportunity for McDonald13,Johnny Green,2015-06-06,2015-06-26,2015-06-18,Meeting with stakeholders voz [7490],54
Opportunity for Bradley14,Catherine Brown,2015-05-27,2015-06-16,2015-07-02,Demo with execs sowez [5826],47
Opportunity for Jimenez15,Irene Kelley,2015-07-05,2015-07-06,2015-07-07,Demo with execs izlap [2797],78
Opportunity for Phillips16,Laura Garza,2015-05-26,2015-07-07,2015-06-20,Demo with execs zuk [6811],45
Opportunity for Jefferson17,Kelly Frazier,2015-07-03,2015-07-07,2015-07-19,Meeting with stakeholders nag [5842],114
Opportunity for Wells18,Kelly Frazier,2015-05-19,2015-06-05,2015-07-03,Demo with execs tahow [6733],71
Opportunity for Gray127,Dennis Howard,2015-06-13,2015-06-25,2015-07-04,Demo with execs sidec [9141],36
Opportunity for Garcia128,Eric Gutierrez,2015-05-24,2015-07-07,2015-06-23,Demo with execs jan [9132],86
Opportunity for Guzman129,Laura Garza,2015-05-17,2015-05-19,2015-05-23,Meeting with stakeholders han [2669],75
Opportunity for McLaughlin130,Nicolas Weaver,2015-07-06,2015-07-06,2015-07-26,Meeting with stakeholders atnemrap [4584],58
Opportunity for Fitzgerald131,Evelyn Williamson,2015-06-06,2015-06-08,2015-07-15,Meeting with stakeholders kaf [1044],31
Opportunity for Rodgers132,Eric Gutierrez,2015-06-19,2015-06-24,2015-06-22,Demo with execs ve [2352],113
Opportunity for Chandler133,Johnny Green,2015-06-05,2015-07-01,2015-07-09,Meeting with stakeholders lizena [7832],115
Opportunity for Rice134,Kelly Frazier,2015-06-19,2015-07-03,2015-06-21,Meeting with stakeholders tenekavu [4112],99
Opportunity for Bennett135,Johnny Green,2015-07-05,2015-07-05,2015-08-15,Meeting with stakeholders ref [8767],64
Opportunity for McCoy136,Irene McCoy,2015-06-15,2015-07-05,2015-07-17,Demo with execs cajuv [3273],35
Opportunity for Tyler137,Eric Sanchez,2015-05-19,2015-05-25,2015-06-01,Demo with execs ilje [4510],116
Opportunity for Shaw138,Irene McCoy,2015-06-30,2015-06-30,2015-08-16,Demo with execs om [2358],109
