Account.Name,Amount,CloseDate,LeadSource,Name,Owner.Name,StageName,Type,CreatedDate,ForecastCategory,Opportunity_Source__c
Mann440 Inc,838270,2014-09-19,Word of mouth,Opportunity for Greer1,Laura Palmer,Closed Won,New Business,2014-03-04,Closed,Marketing
Robbins92 Inc,397590,2012-11-02,Word of mouth,Opportunity for Manning2,Harold Campbell,Closed Won,New Business,2012-05-12,Closed,BDR
Nguyen243 Inc,1636500,2014-01-30,Partner,Opportunity for Franklin3,Eric Sanchez,Closed Won,New Business,2013-10-03,Closed,Marketing
Black702 Inc,607550,2012-10-05,Trade Show,Opportunity for Cannon4,Eric Gutierrez,Closed Lost,New Business,2012-04-17,Omitted,AE
Phillips552 Inc,32400,2015-09-26,Employee Referral,Opportunity for Conner5,Laura Palmer,Qualification,Existing Business,2015-02-02,Pipeline,Alliances
Carpenter176 Inc,1346220,2012-10-22,Public Relations,Opportunity for Henry6,Irene McCoy,Closed Won,New Business / Add-on,2012-04-08,Closed,Marketing
Gomez227 Inc,1618500,2012-12-12,Word of mouth,Opportunity for Sims7,Irene McCoy,Closed Won,New Business / Add-on,2012-10-05,Closed,Marketing
Franklin354 Inc,6270120,2013-07-20,Advertisement,Opportunity for Smith8,Irene McCoy,Closed Won,New Business / Add-on,2013-03-13,Closed,Marketing
Thomas148 Inc,397280,2014-10-13,Employee Referral,Opportunity for Wood9,Catherine Brown,Closed Lost,New Business / Add-on,2014-08-19,Omitted,AE
Myers448 Inc,465326,2013-12-26,Public Relations,Opportunity for Gill10,Irene Kelley,Closed Won,New Business,2013-05-10,Closed,BDR
Ross364 Inc,465795,2014-04-24,Partner,Opportunity for Hogan11,Kelly Frazier,Closed Lost,New Business / Add-on,2013-10-11,Omitted,BDR
Medina497 Inc,1913750,2014-10-14,Partner,Opportunity for McCormick12,Irene McCoy,Closed Won,New Business,2014-04-03,Closed,Marketing
Parks99 Inc,240747,2014-06-09,Word of mouth,Opportunity for McDonald13,Dennis Howard,Closed Won,New Business / Add-on,2014-01-25,Closed,AE
Mitchell743 Inc,143460,2013-07-30,Web,Opportunity for Bradley14,Laura Palmer,Closed Lost,Existing Business,2013-05-17,Omitted,AE
Wright311 Inc,2135650,2013-11-16,Web,Opportunity for Jimenez15,Bruce Kennedy,Closed Won,New Business,2013-05-27,Closed,BDR
Lopez64 Inc,1126060,2012-07-23,Advertisement,Opportunity for Phillips16,Irene Kelley,Closed Won,Existing Business,2012-03-14,Closed,Marketing
Cortez324 Inc,21640,2015-02-14,Trade Show,Opportunity for Jefferson17,Irene McCoy,Closed Won,New Business / Add-on,2014-10-01,Closed,Marketing
Fletcher157 Inc,1130490,2013-11-12,Advertisement,Opportunity for Wells18,Nicolas Weaver,Closed Won,New Business,2013-09-06,Closed,Marketing
Salazar150 Inc,734000,2012-10-10,Partner,Opportunity for Gray127,Eric Gutierrez,Closed Won,New Business,2012-09-10,Closed,BDR
Cortez731 Inc,443080,2014-04-04,Web,Opportunity for Garcia128,Catherine Brown,Closed Won,Existing Business,2013-11-01,Closed,AE
Hawkins276 Inc,119250,2014-02-06,Employee Referral,Opportunity for Guzman129,Dennis Howard,Closed Won,New Business,2013-10-18,Closed,AE
Owens441 Inc,1249000,2015-08-13,Advertisement,Opportunity for McLaughlin130,Eric Gutierrez,Negotiation/Review,Existing Business,2015-04-11,Forecast,Marketing
Pope139 Inc,1646300,2013-10-15,Word of mouth,Opportunity for Fitzgerald131,Doroth Gardner,Closed Lost,New Business / Add-on,2013-05-06,Omitted,BDR
Garza550 Inc,321750,2013-11-07,Web,Opportunity for Rodgers132,Eric Sanchez,Closed Won,Existing Business,2013-10-23,Closed,AE
Gibson62 Inc,754640,2015-07-13,Trade Show,Opportunity for Chandler133,Dennis Howard,Perception Analysis,New Business,2014-11-24,BestCase,AE
Warren653 Inc,243450,2014-04-26,Word of mouth,Opportunity for Rice134,Kelly Frazier,Closed Won,New Business,2014-02-13,Closed,AE
Gordon795 Inc,1132540,2013-03-04,Word of mouth,Opportunity for Bennett135,Bruce Kennedy,Closed Lost,New Business,2012-12-08,Omitted,Alliances
Howard500 Inc,1698490,2013-02-15,Employee Referral,Opportunity for McCoy136,Eric Sanchez,Closed Won,New Business / Add-on,2012-09-08,Closed,AE
Larson135 Inc,2501880,2014-03-05,Word of mouth,Opportunity for Tyler137,Johnny Green,Closed Won,Existing Business,2014-02-22,Closed,AE
Rivera969 Inc,569800,2012-06-29,Web,Opportunity for Shaw138,Irene Kelley,Closed Won,New Business / Add-on,2011-11-23,Closed,BDR
Tran539 Inc,15692,2014-11-08,Word of mouth,Opportunity for Singleton139,Irene Kelley,Closed Lost,New Business,2014-05-01,Omitted,Marketing
Richardson854 Inc,1982110,2012-09-23,Employee Referral,Opportunity for Knight140,Doroth Gardner,Closed Won,Existing Business,2012-09-04,Closed,Alliances
Conner513 Inc,363400,2015-07-25,Word of mouth,Opportunity for Barnes141,John Williams,Qualification,New Business / Add-on,2015-04-10,Pipeline,BDR
George280 Inc,3177210,2012-05-12,Word of mouth,Opportunity for Little142,Irene Kelley,Closed Won,Existing Business,2011-12-21,Closed,AE
Lewis681 Inc,1653020,2014-04-18,Word of mouth,Opportunity for Bush143,Johnny Green,Closed Lost,Existing Business,2014-04-01,Omitted,Marketing
Morton128 Inc,1766710,2014-07-25,Advertisement,Opportunity for Bishop144,Irene Kelley,Closed Won,New Business,2014-01-04,Closed,Marketing
Martinez649 Inc,800000,2014-05-19,Seminar - Internal,Opportunity for Norman145,Irene McCoy,Closed Won,New Business,2014-01-10,Closed,Alliances
Harris13 Inc,4212140,2015-07-31,Public Relations,Opportunity for Edwards146,Johnny Green,Perception Analysis,New Business,2015-04-27,BestCase,Marketing
Bates126 Inc,1496710,2014-01-14,Employee Referral,Opportunity for Francis147,Julie Chavez,Closed Won,New Business / Add-on,2013-11-17,Closed,AE
Fox517 Inc,15115,2013-04-20,Word of mouth,Opportunity for Warren148,Julie Chavez,Closed Won,New Business,2012-09-13,Closed,Marketing
Dean902 Inc,2305550,2015-07-12,Employee Referral,Opportunity for Williams149,Evelyn Williamson,Needs Analysis,New Business,2015-06-28,Pipeline,BDR
Bishop597 Inc,2660660,2015-03-15,Employee Referral,Opportunity for Wagner150,Bruce Kennedy,Closed Lost,Existing Business,2014-10-18,Omitted,AE
Brown53 Inc,859850,2013-02-01,Employee Referral,Opportunity for Bryan151,John Williams,Closed Lost,New Business / Add-on,2012-10-09,Omitted,AE
Adkins907 Inc,309938,2014-09-21,Word of mouth,Opportunity for Lewis258,Laura Garza,Closed Won,New Business / Add-on,2014-01-31,Closed,Marketing
Hernandez713 Inc,1589440,2014-06-08,Public Relations,Opportunity for Barrett259,Doroth Gardner,Closed Lost,New Business,2014-02-19,Omitted,AE
Gordon630 Inc,2868400,2015-07-13,Public Relations,Opportunity for Dennis260,Bruce Kennedy,Needs Analysis,Existing Business,2015-05-06,Pipeline,AE
Bryan850 Inc,2275560,2013-03-23,Partner,Opportunity for Brown261,Dennis Howard,Closed Won,New Business,2013-03-07,Closed,Marketing
Newman168 Inc,314350,2014-09-24,Web,Opportunity for Ray262,Nicolas Weaver,Closed Won,Existing Business,2014-06-09,Closed,BDR
Joseph361 Inc,1879190,2014-12-18,Advertisement,Opportunity for Pittman263,Laura Palmer,Closed Won,New Business,2014-06-14,Closed,Marketing
Hopkins734 Inc,151650,2012-10-18,Partner,Opportunity for Hansen264,Eric Sanchez,Closed Won,New Business,2012-05-26,Closed,AE
Fox572 Inc,206640,2015-07-30,Word of mouth,Opportunity for Holmes265,John Williams,Prospecting,New Business,2015-05-05,Pipeline,Marketing
Rodriguez808 Inc,5835750,2012-12-27,Word of mouth,Opportunity for Newman266,Laura Palmer,Closed Won,New Business,2012-05-06,Closed,Alliances
Todd690 Inc,2664105,2014-12-31,Advertisement,Opportunity for Murphy267,John Williams,Closed Won,Existing Business,2014-07-07,Closed,Marketing
Roberson601 Inc,1518190,2015-06-12,Web,Opportunity for Freeman268,Laura Palmer,Closed Won,New Business,2015-03-23,Closed,AE
Wise244 Inc,846000,2015-02-14,Word of mouth,Opportunity for Terry269,Irene Kelley,Closed Won,New Business / Add-on,2014-06-27,Closed,AE
Becker219 Inc,5307250,2014-03-29,Word of mouth,Opportunity for Ingram270,Evelyn Williamson,Closed Won,New Business,2013-12-14,Closed,Marketing
Benson446 Inc,578400,2013-05-06,Partner,Opportunity for Blake271,Catherine Brown,Closed Lost,New Business,2013-02-08,Omitted,Marketing
Olson171 Inc,61000,2014-02-26,Public Relations,Opportunity for Neal272,Dennis Howard,Closed Won,New Business / Add-on,2013-10-19,Closed,Marketing
Rogers668 Inc,898000,2013-03-08,Word of mouth,Opportunity for Bowers273,Dennis Howard,Closed Won,New Business / Add-on,2012-11-12,Closed,AE
Bass271 Inc,401489,2013-05-24,Web,Opportunity for Riley274,Irene Kelley,Closed Won,New Business,2012-11-10,Closed,Alliances
Briggs955 Inc,209104,2014-12-19,Employee Referral,Opportunity for Butler275,Johnny Green,Closed Won,New Business,2014-07-27,Closed,BDR
Daniels141 Inc,582035,2015-10-05,Partner,Opportunity for Collier276,Nicolas Weaver,Qualification,New Business / Add-on,2015-05-08,Pipeline,AE
Lane81 Inc,376862,2014-06-28,Word of mouth,Opportunity for Banks277,Irene Kelley,Closed Won,New Business / Add-on,2014-03-24,Closed,Marketing
Oliver444 Inc,18960,2015-01-25,Seminar - Internal,Opportunity for Alexander278,Chris Riley,Closed Won,New Business,2014-11-06,Closed,AE
Tucker401 Inc,1739340,2012-08-05,Seminar - Internal,Opportunity for Thomas279,Eric Sanchez,Closed Won,Existing Business,2011-12-21,Closed,BDR
Webster87 Inc,2534800,2013-10-26,Seminar - Internal,Opportunity for Caldwell280,Chris Riley,Closed Won,New Business / Add-on,2013-07-27,Closed,AE
Wright507 Inc,1573350,2015-12-18,Partner,Opportunity for Allison281,Eric Gutierrez,Qualification,New Business / Add-on,2015-07-01,Pipeline,Alliances
Abbott426 Inc,2565415,2012-12-30,Partner,Opportunity for Bush282,Irene Kelley,Closed Won,New Business / Add-on,2012-05-23,Closed,AE
