WhatId,OwnerId,Status,Priority,TaskSubtype,Type,CreatedDate,ActivityDate,LastModifiedDate,Subject,Description
Opportunity for Greer1,Harold Campbell,In Progress,Normal,Task,Task exec,2015-05-25,2015-06-24,2015-06-04,Task exec hidli [5796],Capuv uzeofevi iteviwme gegfimli kedinsob topbakvun hoos owu ruzet zapun ihvu redo migujitev fujku uwbi pajif negwuzu zi.
Opportunity for Manning2,Harold Campbell,In Progress,Normal,Call,Call to stakeholder,2015-05-08,2015-05-11,2015-06-01,Call to stakeholder wonemwob [8663],Vishi se jutig ekfuwha ipukep eminaskeh he fin bal avu okuduz zutac huvuge ora jasez vus akurha amoresvif.
Opportunity for Franklin3,Johnny Green,In Progress,Normal,Email,Email exec,2015-07-02,2015-08-08,2015-07-07,Email exec amuse [7041],Fo wok ago mas ovi tebovvon fooh ul levcanas zogik zudwic mon ihpowew jahsirfis wobdiow mik ma.
Opportunity for Cannon4,Dennis Howard,Not Started,Low,Email,Email exec,2015-05-31,2015-06-02,2015-06-05,Email exec azu [5816],Cah za kogilsap det ziwona wev lifug kehfic otunuow ihajar jihufasi ujeus numa iwto uvu.
Opportunity for Conner5,Bruce Kennedy,In Progress,High,Task,Setting up demo,2015-06-28,2015-07-11,2015-07-01,Setting up demo tefu [9159],Reelnet ta kimuw waftarhi viwitib kat bifu ulceza de zodo ijevahoz vuivsa ica geniv culhire cak.
Opportunity for Henry6,Jessica Nichols,Not Started,High,Task,Task to stakeholder,2015-06-04,2015-07-12,2015-06-06,Task to stakeholder haflava [4165],Om guwomori tarenseb gab gaez fujeda carto ju vosi egosijub rebe abvezje uj li.
Opportunity for Sims7,Laura Garza,Completed,Normal,Email,Email exec,2015-06-19,2015-07-23,2015-07-06,Email exec zijo [9073],Bivu erci mosolus ab tenfut kog leduna riw tujethas otohe lu wacu mami ceho kubfes ez ig.
Opportunity for Smith8,Laura Garza,In Progress,Normal,Task,Setting up demo,2015-06-22,2015-06-27,2015-06-22,Setting up demo wegodgiz [4717],Nu furuomu sew azcazep cofonep godi utabi dico nofecod mopdan cisral ozeovofo wi homba obho jo no ogipiben.
Opportunity for Wood9,Jessica Nichols,In Progress,Normal,Call,Call exec,2015-05-28,2015-07-09,2015-06-12,Call exec omo [6718],Mepafwo vef et kacurapus zokzepe apho uvegi roogulo deewfan ucwojhe ve neur.
Opportunity for Gill10,Evelyn Williamson,In Progress,Low,Call,Call to stakeholder,2015-05-25,2015-06-19,2015-05-26,Call to stakeholder gupcarvo [5173],Emfocfiv lagvip nuh ukuovesop fimugi del diuf kafe cifureva wipodur ir omo boitwu.
Opportunity for Hogan11,Eric Sanchez,Not Started,Normal,Email,Email to stakeholder,2015-05-22,2015-07-03,2015-06-29,Email to stakeholder wa [2553],Godsavu vullavewu zujisga erbaaj akrum nelupteb okemuwev hubadpi uchucas ehve mi hoke abalub piuwlom.
Opportunity for McCormick12,Eric Gutierrez,In Progress,High,Call,Call to stakeholder,2015-07-03,2015-07-21,2015-07-06,Call to stakeholder zuav [4232],Tejbodi buar heti kicew mumive oz pa hi hin tij juw mesaz miz tu elbijsos.
Opportunity for McDonald13,Evelyn Williamson,Not Started,Normal,Call,Call exec,2015-06-14,2015-07-14,2015-07-06,Call exec di [1702],Unmejco zifhuvbe borro nifiwul fipemi usi hoob zu uwzul kez patnogme lu oj maca.
