WhatId,OwnerId,Status,Priority,TaskSubtype,CreatedDate,ActivityDate,LastModifiedDate,Subject,Call Result,Call Type,Call Object Identifier,CallDurationInSeconds
25212,Bruce Kennedy,Not Started,Normal,Call,2016-06-02,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,72,502
30367,Doroth Gardner,Not Started,Normal,Call,2016-06-04,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,408,371
23607,Laura Garza,Not Started,Normal,Call,2016-05-27,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,6,636
25573,Irene Kelley,Not Started,Normal,Call,2016-05-31,2016-06-30,2016-07-11,Update Customer,Success,Inbound,521,993
24200,Nicolas Weaver,Not Started,Normal,Call,2016-06-02,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,773,200
24529,Catherine Brown,Not Started,Normal,Call,2016-05-27,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,333,376
23778,Evelyn Williamson,Not Started,Normal,Call,2016-05-24,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,696,697
26321,Irene McCoy,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Success,Inbound,658,54
25988,Evelyn Williamson,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Success,Inbound,96,974
26302,Kelly Frazier,Not Started,Normal,Call,2016-05-24,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,215,267
23640,Irene Kelley,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,741,545
26003,Kelly Frazier,Not Started,Normal,Call,2016-05-31,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,258,491
30589,Harold Campbell,Not Started,Normal,Call,2016-05-21,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,71,444
30367,Johnny Green,Not Started,Normal,Call,2016-07-18,2016-07-18,2016-07-18,Update Customer,Success,Outbound,955,679
25512,Dennis Howard,Not Started,Normal,Call,2016-07-30,2016-07-30,2016-07-30,Update Customer,Success,Internal,384,604
30014,Laura Garza,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,524,521
24667,Johnny Green,Not Started,Normal,Call,2016-05-25,2016-06-30,2016-07-11,Update Customer,Success,Inbound,562,148
25478,Evelyn Williamson,Not Started,Normal,Call,2016-05-30,2016-06-30,2016-07-11,Update Customer,Success,Outbound,34,393
25687,Irene Kelley,Not Started,Normal,Call,2016-05-22,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,113,388
23627,Jessica Nichols,Not Started,Normal,Call,2016-05-21,2016-06-30,2016-07-11,Update Customer,Success,Outbound,149,359
23525,Harold Campbell,Not Started,Normal,Call,2016-05-26,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,612,691
24294,Eric Sanchez,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,981,755
25608,Eric Sanchez,Not Started,Normal,Call,2016-05-22,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,965,693
24641,Eric Sanchez,Not Started,Normal,Call,2016-06-02,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,204,955
23471,Catherine Brown,Not Started,Normal,Call,2016-05-20,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,955,779
24592,Evelyn Williamson,Not Started,Normal,Call,2016-05-24,2016-06-30,2016-07-11,Update Customer,Success,Outbound,240,707
23504,Admin User,Not Started,Normal,Call,2016-05-28,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,736,522
25121,Bruce Kennedy,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,792,725
25201,Eric Sanchez,Not Started,Normal,Call,2016-05-26,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,71,128
24203,Nicolas Weaver,Not Started,Normal,Call,2016-06-04,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,832,246
25901,Nicolas Weaver,Not Started,Normal,Call,2016-05-21,2016-06-30,2016-07-11,Update Customer,Success,Internal,576,470
24315,Irene McCoy,Not Started,Normal,Call,2016-05-27,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Inbound,201,85
29521,Bruce Kennedy,Not Started,Normal,Call,2016-05-31,2016-06-30,2016-07-11,Update Customer,Call Back,Internal,439,552
25908,Irene Kelley,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Call Back,Internal,132,965
24527,Bruce Kennedy,Not Started,Normal,Call,2016-05-30,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,871,656
24577,Chris Riley,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,90,143
29808,Laura Garza,Not Started,Normal,Call,2016-05-21,2016-06-30,2016-07-11,Update Customer,Success,Inbound,671,836
23836,Julie Chavez,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Success,Internal,962,822
24294,Nicolas Weaver,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,311,992
25055,Catherine Brown,Not Started,Normal,Call,2016-06-04,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,98,287
23474,Bruce Kennedy,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,287,954
23558,Eric Sanchez,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Success,Internal,513,644
23915,Jessica Nichols,Not Started,Normal,Call,2016-05-25,2016-06-30,2016-07-11,Update Customer,Success,Inbound,155,422
25676,Johnny Green,Not Started,Normal,Call,2016-06-01,2016-06-30,2016-07-11,Update Customer,Call Back,Outbound,308,548
26367,Bruce Kennedy,Not Started,Normal,Call,2016-06-02,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,855,479
24657,Johnny Green,Not Started,Normal,Call,2016-05-23,2016-06-30,2016-07-11,Update Customer,Call Back,Internal,968,785
24116,Irene McCoy,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Call Back,Outbound,52,875
24533,Catherine Brown,Not Started,Normal,Call,2016-06-07,2016-06-30,2016-07-11,Update Customer,Call Back,Outbound,601,178
25380,Admin User,Not Started,Normal,Call,2016-07-09,2016-07-09,2016-07-11,Update Customer,Success,Outbound,339,961
23648,Laura Garza,Not Started,Normal,Call,2016-07-31,2016-07-31,2016-07-31,Update Customer,Success,Inbound,977,585
25637,John Williams,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,395,745
23581,Bruce Kennedy,Not Started,Normal,Call,2016-07-24,2016-07-24,2016-07-24,Update Customer,Success,Outbound,902,970
24388,Bruce Kennedy,Not Started,Normal,Call,2016-08-13,2016-08-13,2016-08-13,Update Customer,Disconnected,Internal,62,748
25925,Irene McCoy,Not Started,Normal,Call,2016-08-15,2016-08-15,2016-08-15,Update Customer,Do Not Call,Inbound,613,227
29326,Laura Garza,Not Started,Normal,Call,2016-08-19,2016-08-19,2016-08-19,Update Customer,Disconnected,Inbound,807,207
23833,Bruce Kennedy,Not Started,Normal,Call,2016-05-31,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,597,544
24231,Irene McCoy,Not Started,Normal,Call,2016-05-25,2016-06-30,2016-07-11,Update Customer,Success,Internal,947,302
23916,Kelly Frazier,Not Started,Normal,Call,2016-05-27,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,162,5
23890,Bruce Kennedy,Not Started,Normal,Call,2016-05-30,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,502,90
30481,Nicolas Weaver,Not Started,Normal,Call,2016-08-16,2016-08-16,2016-08-16,Update Customer,Call Back,Inbound,201,924
24255,Jessica Nichols,Not Started,Normal,Call,2016-08-19,2016-08-19,2016-08-19,Update Customer,Success,Outbound,36,235
24786,Bruce Kennedy,Not Started,Normal,Call,2016-05-24,2016-06-30,2016-07-11,Update Customer,Call Back,Outbound,39,457
30362,Kelly Frazier,Not Started,Normal,Call,2016-05-29,2016-06-30,2016-07-11,Update Customer,Call Back,Inbound,932,350
23823,Admin User,Not Started,Normal,Call,2016-05-30,2016-06-30,2016-07-11,Update Customer,Success,Internal,17,185
25831,Irene Kelley,Not Started,Normal,Call,2016-06-07,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Outbound,75,609
25086,Admin User,Not Started,Normal,Call,2016-08-15,2016-08-15,2016-08-15,Update Customer,Success,Inbound,356,617
23883,Johnny Green,Not Started,Normal,Call,2016-08-20,2016-08-20,2016-08-20,Update Customer,Call Back,Outbound,586,515
26058,Eric Sanchez,Not Started,Normal,Call,2016-09-04,2016-09-04,2016-09-04,Update Customer,Success,Internal,514,890
26226,Chris Riley,Not Started,Normal,Call,2016-06-01,2016-06-30,2016-07-11,Update Customer,Call Unsuccessful,Internal,294,734
24932,Laura Garza,Not Started,Normal,Call,2016-07-19,2016-07-19,2016-07-19,Update Customer,Call Back,Internal,102,383
25412,Kelly Frazier,Not Started,Normal,Call,2016-07-27,2016-07-27,2016-07-27,Update Customer,Call Back,Outbound,398,860
24739,Jessica Nichols,Not Started,Normal,Call,2016-08-23,2016-08-23,2016-08-23,Update Customer,Call Back,Outbound,549,737
24073,Eric Sanchez,Not Started,Normal,Call,2016-09-07,2016-09-07,2016-09-07,Update Customer,Call Unsuccessful,Outbound,709,647
25204,Irene Kelley,Not Started,Normal,Call,2016-09-08,2016-09-08,2016-09-08,Update Customer,Do Not Call,Inbound,258,317
30150,Johnny Green,Not Started,Normal,Call,2016-07-09,2016-07-09,2016-07-11,Update Customer,Success,Internal,222,285
24877,Bruce Kennedy,Not Started,Normal,Call,2016-07-17,2016-07-17,2016-07-17,Update Customer,Do Not Call,Outbound,372,366
26288,Evelyn Williamson,Not Started,Normal,Call,2016-07-26,2016-07-26,2016-07-26,Update Customer,Success,Outbound,575,465
23637,Julie Chavez,Not Started,Normal,Call,2016-07-31,2016-07-31,2016-07-31,Update Customer,Success,Outbound,987,494
23890,Admin User,Not Started,Normal,Call,2016-05-25,2016-06-30,2016-07-11,Update Customer,Call Back,Outbound,613,722
24060,Bruce Kennedy,Not Started,Normal,Call,2016-06-03,2016-06-30,2016-07-11,Update Customer,Success,Internal,699,275
23770,Johnny Green,Not Started,Normal,Call,2016-07-17,2016-07-17,2016-07-17,Update Customer,Success,Inbound,349,359
24446,John Williams,Not Started,Normal,Call,2016-07-24,2016-07-24,2016-07-24,Update Customer,Call Back,Inbound,837,16
